# FF7 Virtual Address Mapping for HEXT Patching
# Generated: 2026-01-02 20:49:47 JST
# Session: 93c10c47-4dd6-41a6-aa90-73c6b0def3b1
#
# Virtual Address Calculation:
# VA = (FileOffset - 0x3B8A00) + 0x3BA000 + 0x400000
#
# Format: INDEX | FILE_OFFSET | VIRTUAL_ADDRESS | LENGTH | TYPE
# ================================================================================

102 | 0x0051A058 | 0x0091B658 |  16 | RGB
103 | 0x0051A068 | 0x0091B668 |  16 | RGB
104 | 0x0051A078 | 0x0091B678 |   8 | RGB
105 | 0x0051A080 | 0x0091B680 |  16 | RGB
106 | 0x0051A090 | 0x0091B690 |   4 | RGB
107 | 0x0051A094 | 0x0091B694 |   4 | RGB
108 | 0x0051A098 | 0x0091B698 |   4 | RGB
109 | 0x0051A09C | 0x0091B69C |   4 | RGB
110 | 0x0051A0A0 | 0x0091B6A0 |   4 | RGB
111 | 0x0051A0A4 | 0x0091B6A4 |   4 | RGB
112 | 0x0051A0A8 | 0x0091B6A8 |   4 | RGB
113 | 0x0051A0AC | 0x0091B6AC |   4 | RGB
114 | 0x0051A0B0 | 0x0091B6B0 |   4 | RGB
115 | 0x0051A0B4 | 0x0091B6B4 |  12 | RGB
116 | 0x0051A0C0 | 0x0091B6C0 |  12 | RGB
117 | 0x0051A0CC | 0x0091B6CC |   8 | RGB
118 | 0x0051A0D4 | 0x0091B6D4 |  12 | RGB
119 | 0x0051A0E0 | 0x0091B6E0 |  12 | RGB
120 | 0x0051A0EC | 0x0091B6EC |   4 | RGB
121 | 0x0051A0F0 | 0x0091B6F0 |   4 | RGB
122 | 0x0051A0F4 | 0x0091B6F4 |   4 | RGB
123 | 0x0051A0F8 | 0x0091B6F8 |   4 | RGB
124 | 0x0051A0FC | 0x0091B6FC |   4 | RGB
125 | 0x0051A100 | 0x0091B700 |   4 | RGB
126 | 0x0051A104 | 0x0091B704 |   4 | RGB
127 | 0x0051A108 | 0x0091B708 |   8 | RGB
128 | 0x0051A110 | 0x0091B710 |   8 | RGB
129 | 0x0051A118 | 0x0091B718 |   8 | RGB
130 | 0x0051A120 | 0x0091B720 |  12 | RGB
131 | 0x0051A12C | 0x0091B72C |  12 | RGB
132 | 0x0051A138 | 0x0091B738 |  12 | RGB
133 | 0x0051A144 | 0x0091B744 |   8 | RGB
134 | 0x0051A14C | 0x0091B74C |  12 | RGB
135 | 0x0051A158 | 0x0091B758 |   4 | RGB
136 | 0x0051A15C | 0x0091B75C |   4 | RGB
137 | 0x0051A160 | 0x0091B760 |   4 | RGB
138 | 0x0051A164 | 0x0091B764 |   4 | RGB
139 | 0x0051A168 | 0x0091B768 |   4 | RGB
