Address (Hex),Address (Dec),Primary Purpose,Categories,Min Value,Max Value,Occurrences,Example Values
71B94A,7453002,Enable materia shop icon Y-Axis adjustment,"Icon, MateriaMenu, PositionY, ShopMenu",0,248,1,6A 01 6A 00 6A 00 8B 4D F8 51 6A 10 6A 10 6A 20
71B95C,7453020,buy materia - icon Y-Axis,"Icon, MateriaMenu, PositionY",31,31,1,1F
71B964,7453028,materia shop - icons Y-Axis,"Icon, MateriaMenu, PositionY, ShopMenu",1,1,1,01
71B967,7453031,materia shop - icons X-Axis,"Icon, MateriaMenu, PositionX, ShopMenu",46,69,2,2E; 45
71B9FB,7453179,weapon shop - scroll row height Y-Axis,"Height, PositionY, ShopMenu",7,7,1,07
71BA38,7453240,all shop buy - scroll bar X-Axis,"Bar, PositionX, ShopMenu",234,234,1,EA
71BA5A,7453274,all shop buy - scroll bar width,"Bar, ShopMenu, Width",12,12,1,0C
71BAA6,7453350,all shop buy - cursor spacing Y-Axis,"Cursor, PositionY, ShopMenu, Spacing",24,24,1,18
71BAAA,7453354,all shop buy - cursor Y-Axis,"Cursor, PositionY, ShopMenu",22,22,1,16
71BAAD,7453357,all shop buy - cursor X-Axis,"Cursor, PositionX, ShopMenu",5,30,2,05; 1E
71BAD8,7453400,all shop buy - ghost cursor spacing Y-Axis,"Cursor, PositionY, ShopMenu, Spacing",24,24,1,18
71BADC,7453404,all shop buy - ghost cursor Y-Axis,"Cursor, PositionY, ShopMenu",22,22,1,16
71BADF,7453407,all shop buy - ghost cursor X-Axis,"Cursor, PositionX, ShopMenu",5,30,2,05; 1E
71BC2B,7453739,sell item - sub menu how many WORD Y-Axis,"ItemMenu, PositionY",123,123,1,7B
71BC48,7453768,sell item - sub menu total WORD Y-Axis,"ItemMenu, PositionY",149,149,1,95
71BC88,7453832,sell item - sub menu gil WORD Y-Axis,"ItemMenu, PositionY",0,203,1,CB 00
71BC91,7453841,sell item - sub menu gil WORD X-Axis,"ItemMenu, PositionX",30,30,1,1E
71BCA8,7453864,sell item - sub menu owned WORD Y-Axis,"ItemMenu, PositionY",0,230,1,E6 00
71BCB1,7453873,sell item - sub menu owned WORD X-Axis,"ItemMenu, PositionX",30,30,1,1E
71BCC8,7453896,sell item - sub menu equipped WORD Y-Axis,"EquipMenu, ItemMenu, PositionY",1,1,1,01 01
71BCD1,7453905,sell item - sub menu equipped WORD X-Axis,"EquipMenu, ItemMenu, PositionX",30,30,1,1E
71BD6A,7454058,sell item - sub menu remaining Y-Axis,"ItemMenu, PositionY",181,181,1,B5
71BD90,7454096,sell item - sub menu gil Y-Axis,"ItemMenu, PositionY",0,208,1,D0 00
71BDB4,7454132,sell item - sub menu owned Y-Axis,"ItemMenu, PositionY",0,235,1,EB 00
71BDD7,7454167,sell item - sub menu equipped Y-Axis,"EquipMenu, ItemMenu, PositionY",1,6,1,06 01
71BE4D,7454285,sell item - ghost cursor spacing Y-Axis,"Cursor, ItemMenu, PositionY, Spacing",24,24,1,18
71BE50,7454288,sell item - ghost cursor Y-Axis,"Cursor, ItemMenu, PositionY",109,109,1,6D
71BE59,7454297,sell item - ghost cursor spacing X-Axis,"Cursor, ItemMenu, PositionX, Spacing",37,37,1,25
71BE5F,7454303,sell item - ghost cursor X-Axis,"Cursor, ItemMenu, PositionX",30,30,1,1E
71BE98,7454360,sell item - cursor spacing Y-Axis,"Cursor, ItemMenu, PositionY, Spacing",24,24,1,18
71BE9B,7454363,sell item - cursor Y-Axis,"Cursor, ItemMenu, PositionY",109,109,1,6D
71BEA4,7454372,sell item - cursor spacing X-Axis,"Cursor, ItemMenu, PositionX, Spacing",37,37,1,25
71BEAA,7454378,sell item - cursor X-Axis,"Cursor, ItemMenu, PositionX",30,30,1,1E
71BF1E,7454494,sell item - scroll row height,"Height, ItemMenu",15,15,1,0F
71BF3E,7454526,sell item scroll bax X-axis,"ItemMenu, PositionX",111,111,1,6F
71BF47,7454535,sell item - scroll bar Y-Axis,"Bar, ItemMenu, PositionY",99,99,1,63
71BF50,7454544,sell item scroll bar width,"Bar, ItemMenu, Width",12,12,1,0C
71BF59,7454553,sell item - scroll bar height,"Bar, Height, ItemMenu",1,119,1,77 01
71BF91,7454609,sell item - visible row count,ItemMenu,15,15,1,0F
71C05A,7454810,sell item - text spacing Y-Axis,"ItemMenu, PositionY, Spacing, Text",24,24,1,18
71C067,7454823,sell item - text Y-Axis,"ItemMenu, PositionY, Text",105,105,1,69
71C150,7455056,sell item - icon spacing Y-Axis,"Icon, ItemMenu, PositionY, Spacing",24,24,1,18
71C15D,7455069,sell item - icon Y-Axis,"Icon, ItemMenu, PositionY",101,101,1,65
71C187,7455111,sell item - colon spacing Y-Axis,"ItemMenu, PositionY, Spacing",24,24,1,18
71C194,7455124,sell item - colon Y-Axis,"ItemMenu, PositionY",112,112,1,70
71C1C4,7455172,sell item - number spacing Y-Axis,"ItemMenu, PositionY, Spacing",24,24,1,18
71C1D1,7455185,sell item - number Y-Axis,"ItemMenu, PositionY",111,111,1,6F
71D9B8,7461304,weapon shop - cursor row count (menu refresh),"Cursor, ShopMenu",7,7,1,07
71E134,7463220,sell materia - right box cursor visible row (full menu refresh),"Box, Cursor, MateriaMenu",11,11,1,0B
71E46D,7464045,sell materia - element Y-Axis,"MateriaMenu, PositionY",1,16,1,10 01
71E472,7464050,sell materia - element X-Axis,"MateriaMenu, PositionX",127,127,1,7F
71E4CC,7464140,sell materia - materia icon Y-Axis,"Icon, MateriaMenu, PositionY",215,215,1,D7
71E558,7464280,sell materia - filled stars X-Axis related,"MateriaMenu, PositionX",237,237,1,ED
71E58B,7464331,sell materia - empty stars X-Axis related,"MateriaMenu, PositionX",237,237,1,ED
71E5B1,7464369,sell materia - next level value Y-Axis,"MateriaMenu, PositionY",0,249,2,F9 00; 12 01
71E5B6,7464374,sell materia - next level value X-Axis,"MateriaMenu, PositionX",134,134,1,86
71E5E7,7464423,sell materia - ap value Y-Axis,"MateriaMenu, PositionY",249,249,1,F9
71E5EC,7464428,sell materia - ap value X-Axis,"MateriaMenu, PositionX",1,13,1,0D 01
71E60C,7464460,sell materia - MASTER X-Axis,"MateriaMenu, PositionX",1,29,1,1D 01
71E625,7464485,sell materia - next level WORD Y-Axis,"MateriaMenu, PositionY",0,244,1,F4 00
71E62A,7464490,sell materia - next level WORD X-Axis,"MateriaMenu, PositionX",17,119,2,11; 77
71E640,7464512,sell materia - equip effect WORD Y-Axis,"EquipMenu, MateriaMenu, PositionY",16,16,1,10
71E645,7464517,sell materia - equip effect WORD X-Axis,"EquipMenu, MateriaMenu, PositionX",237,237,1,ED
71E663,7464547,sell materia - AP WORD X-Axis,"MateriaMenu, PositionX",237,237,1,ED
71E67C,7464572,sell materia - ability list WORD Y-Axis,"MateriaMenu, PositionY",1,16,1,10 01
71E681,7464577,sell materia - ability list WORD X-Axis,"MateriaMenu, PositionX",17,17,1,11
71E697,7464599,sell materia - equip effect WORD clone Y-Axis,"EquipMenu, MateriaMenu, PositionY",16,16,1,10
71E69C,7464604,sell materia - equip effect WORD clone X-Axis,"EquipMenu, MateriaMenu, PositionX",237,237,1,ED
71E751,7464785,sell materia - green ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71E757,7464791,sell materia - green ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71E794,7464852,sell materia - red ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71E799,7464857,sell materia - red ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71E823,7464995,sell materia - yellow ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71E829,7465001,sell materia - yellow ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71E871,7465073,sell materia - purple MPUP ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71E876,7465078,sell materia - purple MPUP ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71E894,7465108,sell materia - purple MPUP number Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71E899,7465113,sell materia - purple MPUP number X-Axis,"MateriaMenu, PositionX",122,122,1,7A
71E8B2,7465138,sell materia - purple MPUP + Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71E8B7,7465143,sell materia - purple MPUP + X-Axis,"MateriaMenu, PositionX",110,110,1,6E
71E8CD,7465165,sell materia - purple MPUP % Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71E8D2,7465170,sell materia - purple MPUP % X-Axis,"MateriaMenu, PositionX",144,144,1,90
71E8F0,7465200,sell materia - purple HPUP ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71E8F5,7465205,sell materia - purple HPUP ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71E914,7465236,sell materia - purple HPUP number Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71E919,7465241,sell materia - purple HPUP number X-Axis,"MateriaMenu, PositionX",122,122,1,7A
71E932,7465266,sell materia - purple HPUP + Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71E937,7465271,sell materia - purple HPUP + X-Axis,"MateriaMenu, PositionX",110,110,1,6E
71E94D,7465293,sell materia - purple HPUP % Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71E952,7465298,sell materia - purple HPUP % X-Axis,"MateriaMenu, PositionX",144,144,1,90
71E970,7465328,sell materia - purple DEXUP ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71E975,7465333,sell materia - purple DEXUP ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71E994,7465364,sell materia - purple DEXUP number Y-Axis,"MateriaMenu, PositionY",48,48,1,30
71E999,7465369,sell materia - purple DEXUP number X-Axis,"MateriaMenu, PositionX",122,122,1,7A
71E9B2,7465394,sell materia - purple DEXUP + Y-Axis,"MateriaMenu, PositionY",48,48,1,30
