Address (Hex),Address (Dec),Primary Purpose,Categories,Min Value,Max Value,Occurrences,Example Values
9141E6,9519590,î+ITEM ï+ITEM ñ+ITEM ó+ITEM,ItemMenu,2,6,3,02 02 05 05; 04 04 06 06; 03 03 05 05
9141F6,9519606,ò+ITEM ô+ITEM ö+ITEM õ+ITEM,ItemMenu,5,6,3,05 05 05 05; 06 06 06 06; 05 05 05 05
914206,9519622,ú+ITEM ù+ITEM û ü,ItemMenu,5,6,3,05 05 05 05; 06 06 06 06; 05 05 05 05
914236,9519670,[0x88]  [0x89]+AVATAR  [0x8A]+AVATAR  ´+ITEM,"Avatar, ItemMenu",0,11,3,09 0a 0b 04; 09 0a 0b 03; 05 00 00 00
914237,9519671,AVATAR,"Avatar, Spacing, Text",0,12,5,0C; 00; 00 00
914246,9519686,¨+AVATAR   ≠+AVATAR   Æ_ITEM   Ø+AVATAR,"Avatar, ItemMenu",0,11,3,05 08 0b 09; 04 07 0b 08; 00 00 09 00
914256,9519702,∞   ±+AVATAR   ≤+AVATAR   ≥+LEFT,Avatar,0,10,3,0a 07 07 07; 0a 06 06 06; 08 00 00 08
914286,9519750,º+R2 Ω æ+ITEM ø+ITEM,ItemMenu,5,11,3,06 09 0b 07; 05 08 0a 06; 07 06 08 05
914296,9519766,¿+ITEM ¡+ITEM ¬ √+AVATAR,"Avatar, ItemMenu",0,8,3,06 02 08 07; 05 02 07 08; 05 03 00 00
9142A6,9519782,ƒ+AVATAR ≈+AVATAR ∆ «,Avatar,0,9,3,08 07 09 08; 07 07 08 06; 00 00 00 06
9142F6,9519862,ÿ+ITEM Ÿ+ITEM ⁄ [0xBB],ItemMenu,0,9,3,05 06 07 09; 06 08 06 09; 05 06 00 00
914336,9519926,[0xC8]+MATERIA [0xC9]+MATERIA [0xCA]+MATERIA [0xCB]materia,MateriaMenu,0,12,7,00; 0C; 08 08 03 05
914346,9519942,[0xCC]+materia [0xCD]+item [0xCE]+ITEM [0xCF]+ITEM,"ItemMenu, MateriaMenu",2,8,3,04 03 08 08; 04 02 08 08; 03 03 07 07
914356,9519958,[0xD0] [0xD1]+item [0xD2] [0xD3],ItemMenu,0,9,3,08 09 08 08; 08 08 07 07; 00 07 06 06
919DA5,9543077,Set menu system to load correct UI assets.,SaveLoadMenu,108,108,1,6C
91AA00,9546240,Next Level... Limit Level,LimitMenu,0,255,1,2E 45 58 54 00 2C 45 56 45 4C FF 00 00 00 00 00 00 00 00 00 2C 49 4D 49 54 00 2C 45 56 45 4C FF
91AC48,9546824,left box cursor Y-Axis,"Box, Cursor, PositionY",154,154,1,9A
91AC4A,9546826,left box selection cursor Y-Axis,"Box, Cursor, PositionY",0,188,1,BC 00
91AC4C,9546828,left box exit selection cursor Y-Axis,"Box, Cursor, PositionY",1,181,1,B5 01
91C342,9552706,main boxes Y-Axis,"Box, PositionY",1,124,2,6C 01; 7C 01
91C346,9552710,main UI visibility height (battle refresh),"Battle, Height",0,96,1,60 00
91C352,9552722,left main box left side X-Axis,"Box, PositionX",153,255,7,C4 FF; 99 FF; C4 FF
91C354,9552724,hide left box,Box,128,128,1,80
91C355,9552725,remove left box,Box,1,1,8,01; 01; 01
91C356,9552726,left main box right side X-Axis,"Box, PositionX, Width",0,234,9,B2 00; 77 00; 4C 00
91C358,9552728,left main box height,"Box, Height",0,96,1,60 00
91C35A,9552730,right box X-Axis,"Box, PositionX",0,248,21,60; 50 01; 60
91C35D,9552733,hide main boxes,Box,1,1,5,01; 01; 01
91C35E,9552734,right main box right side X-Axis,"Box, PositionX, Width",2,230,8,80 02; BB 02; E6 02
91C360,9552736,right main box height,"Box, Height",0,96,1,60 00
91C3D8,9552856,command box X-Axis,"Box, PositionX, PositionY",0,255,19,10; 10; CB FF
91C3DA,9552858,command box Y-Axis,"Box, PositionY",1,118,1,76 01
91C3F0,9552880,command box height,"Box, Height",0,107,1,6B 00
91C470,9553008,change box X-Axis,"Box, PositionX",0,255,4,10 00 72 01; D1 FF 60 01; A6 FF 60 01
91C472,9553010,"change box Y-Axis, View Width,View Height (box refresh)","Box, Height, PositionY, Width",0,116,1,74 01 70 00 26 00
91C486,9553030,change box Width,"Box, Height, PositionY, Width",0,112,7,5D 00; 5D 00; 5D 00
91C508,9553160,defend/change boxes,"Box, PositionX",0,255,14,1A 00 72 01; 1A 00 72 01; D1 FF 60 01
91C50A,9553162,"defend box Y-Axis, View Width,View Height (box refresh)","Box, Height, PositionY, Width",0,116,1,74 01 70 00 26 00
91C51E,9553182,defend box Width,"Box, Height, PositionY, Width",0,112,7,5B 00; 5B 00; 5B 00
91C5A0,9553312,eskill boxes X-Axis,"Box, PositionX",0,255,10,12 00; 4B; 20
91C5A2,9553314,eskill boxes Y-Axis,"Box, PositionY",1,114,1,72 01
91C5A6,9553318,eskill boxes UI visibility height (battle refresh),"Battle, Box, Height",0,107,2,6B 00; 68 00
91C5B6,9553334,eskill boxes left box Width,"Box, Width",0,195,6,C1 00; C3 00; C3 00
91C5B8,9553336,eskill boxes left box HEIGHT,"Box, Height",0,111,1,6F 00
91C5BA,9553338,eskill boxes right box X-Axis,"Box, Height, PositionX, PositionY, Width",0,246,32,F2 01; BE 00; BF 00
91C5BE,9553342,eskill boxes right box right X-Axis,"Box, PositionX, Width",1,117,5,74 01; 72 01; 74 01
91C5C0,9553344,eskill boxes right box HEIGHT,"Box, Height",0,111,1,6F 00
91C638,9553464,item box X-Axis,"Box, ItemMenu, PositionX",0,255,9,12 00; 4B; 20
91C63A,9553466,item box Y-Axis,"Box, ItemMenu, PositionY",1,114,1,72 01
91C63E,9553470,item box UI visibility height (battle refresh),"Battle, Box, Height, ItemMenu",0,107,2,6B 00; 68 00
91C64E,9553486,item box width,"Box, ItemMenu, Width",0,255,9,FF 00; 08 01; 08 01
91C650,9553488,item box height,"Box, Height, ItemMenu",0,111,1,6F 00
91C6D0,9553616,magic boxes X-Axis,"Box, MagicMenu, PositionX",0,255,10,12 00; 4B; 20
91C6D2,9553618,magic boxes Y-Axis,"Box, MagicMenu, PositionY",1,114,1,72 01
91C6D6,9553622,magic boxes UI visibility height (battle refresh),"Battle, Box, Height, MagicMenu",0,107,2,6B 00; 68 00
91C6E6,9553638,magic box left box width,"Box, MagicMenu, Width",0,143,6,8D 00; 8F 00; 8F 00
91C6E8,9553640,magic box left box height,"Box, Height, MagicMenu",0,111,1,6F 00
91C6EA,9553642,magic box right box left X-Axis,"Box, MagicMenu, PositionX",0,242,30,F2 01; 8A 00; 8B 00
91C6EE,9553646,magic box right box right X-Axis,"Box, MagicMenu, PositionX",0,195,6,C1 00; C3 00; C3 00
91C6F0,9553648,magic box right box height,"Box, Height, MagicMenu",0,111,1,6F 00
91C768,9553768,summon boxes X-Axis,"Box, PositionX, Uncategorized",0,255,13,CB FF; A0 FF; 12 00
91C76A,9553770,summon boxes Y-Axis,"Box, PositionY",1,114,1,72 01
91C76E,9553774,summon box UI visibility height (battle refresh),"Battle, Box, Height",0,107,2,6B 00; 68 00
91C77E,9553790,summon box left box width,"Box, Width",0,192,6,BD 00; C0 00; C0 00
91C780,9553792,summon box left box height,"Box, Height",0,111,1,6F 00
91C782,9553794,summon box right box left X-Axis,"Box, PositionX",0,242,30,F2 01; BA 00; BC 00
91C786,9553798,summon box right X-Axis,"Box, PositionX",0,244,8,F2 00; F2 00; F1 00
91C788,9553800,summon box right height,"Box, Height",0,111,1,6F 00
91C89A,9554074,worried other members box y-axis - thick borders v2,"Box, PositionY",115,115,1,73
91C89C,9554076,box viewable width,"Box, Width",1,118,6,76 01; 76 01; 76 01
91C89E,9554078,box viewable height,"Box, Height",109,109,1,6D
91C8AE,9554094,worried other members box width,"Box, Width",1,118,6,76 01; 76 01; 76 01
91C8B0,9554096,worried other members box height,"Box, Height",109,109,1,6D
91CE88,9555592,Manip box,"Box, PositionX",20,255,14,14; 14; CB FF
91CE8A,9555594,manip box Y-Axis,"Box, PositionY",1,122,1,7A 01
91CE9E,9555614,manip box width,"Box, Width",192,192,1,C0
91CEA0,9555616,manip box height,"Box, Height",0,100,1,64 00
91CF20,9555744,Coin box,"Box, Height, PositionX, PositionY, Width",0,255,13,24; 24; DF FF
91CF24,9555748,coin box view width,"Box, Width",240,242,2,F2; F0
91CF36,9555766,coin box Width,"Box, Width",0,244,1,F4 00
91CF38,9555768,coin box Height,"Box, Height",0,112,1,70 00
91CFB8,9555896,status/cure/ether box X-Axis,"Box, Height, PositionX, PositionY, StatusMenu, Width",0,255,12,18 00; 5B 00; 30 00
91CFCE,9555918,status/cure/ether box Width,"Box, Height, StatusMenu, Width",0,248,7,F8 00; F0 00; F0 00
91D0EA,9556202,help box and text Y-Axis,"Box, PositionY, Text",1,255,46,3F 01; 45 01; 45 01
91D180,9556352,"limit box X-Axis, Y-Axis, View Width,View Height (box refresh)","Box, Height, LimitMenu, PositionX, PositionY, Width",0,255,23,20; 20; D5 FF
91D184,9556356,limit box view width,"Box, LimitMenu, Width",0,210,25,B5; B5; B5
91D196,9556374,"limit box Width, Height","Box, Height, LimitMenu, Width",0,184,7,B8 00; B8 00; B8 00
91D218,9556504,"action box X,Y,W,H",Box,0,255,2,1B 00 F8 FF 4A 02 00 00; 1B 00 09 00 4A 02 30 00
91D21E,9556510,help box and contents height,"Box, Height",0,43,4,2B 00; 2B 00; 29 00
91D2B0,9556656,"cait sith box X-Axis, Y-Axis, Viewable Width, Viewable Height (box refresh)","Box, Height, PositionX, PositionY, Width",0,208,7,D0 00 72 01 38 01 69 00; D0 00 72 01 38 01 69 00; D0 00 72 01 38 01 69 00
91D2B2,9556658,cait sith reels Y-Axis,"Box, PositionY",1,110,13,6B 01; 6E; 6B
91D2B6,9556662,cait sith limit box view height,"Box, Height, LimitMenu",97,118,29,65; 65; 65
91D2C6,9556678,cait sith background box width,"Box, Width",0,208,6,D0 00; D0 00; D0 00
91D2C8,9556680,cait sith background box height,"Box, Height, PositionY",0,118,7,69; 69; 69
91D34A,9556810,"tifa reels box Y-Axis, Viewable Width, Viewable Height (box refresh)","Box, Height, PositionY, Width",0,128,2,72 01 80 02 64 00; 72 01 80 02 60 00
91D34E,9556814,tifa limit box view height,"Box, Height, LimitMenu",92,96,2,60; 5C
91D360,9556832,tifa reels background box height Y-Axis,"Box, Height, PositionY",0,100,1,64 00
91D3E2,9556962,"battle arena box Y-Axis, View Width, View Height (box refresh)","Battle, Box, Height, PositionY, Width",0,128,1,6C 01 80 02 68 00
91D3E6,9556966,battle arena box Height (box refresh),"Battle, Box, Height",0,104,1,68 00
91D3F8,9556984,"battle arena box width, height","Battle, Box, Height, Width",108,108,1,6C
91E7F8,9562104,command box width 1 column (battle refresh),"Battle, Box, Width",0,123,4,7B 00; 7B 00; 7B 00
91E7FA,9562106,command box width 2 columns (battle refresh),"Battle, Box, Width",0,219,10,C8 00; C8 00; C8 00
91E7FC,9562108,command box width 3 columns (battle refresh),"Battle, Box, Width",1,58,10,0E 01; 0E 01; 0E 01
91E808,9562120,"limit box Height  limit, 2 limits (box refresh)","Box, Height, LimitMenu",57,82,2,39 51; 3A 52
91E94A,9562442,Resist text,Text,50,255,1,32 45 53 49 53 54 FF
91E990,9562512,"limit BG box Bottom - 1limit, 2limits","Box, LimitMenu",50,106,6,52 6A; 32 32; 32 32
920968,9570664,Command box width,"Box, Width",0,246,1,5C 00 A6 00 F6 00
92097E,9570686,Command box height,"Box, Height",127,127,1,7F
920A4B,9570891,fix equip menu text consistency,"EquipMenu, Text",5,255,1,05 FF
920EF8,9572088,"materia menu - description box X-Axis, Y-Axis, Width, Height","Box, Height, MateriaMenu, PositionX, PositionY, Width",0,146,2,00 00 90 00 80 02 2F 00; 00 00 92 00 80 02 2F 00
920F00,9572096,"materia menu - left box X-Axis, Y-Axis, Width, Height","Box, Height, MateriaMenu, PositionX, PositionY, Width",0,189,1,00 00 BD 00 80 01 23 01
920F18,9572120,"arrange box X-Axis, Y-Axis, Width, Height","Box, Height, PositionX, PositionY, Width",0,247,1,F7 00 14 00 7F 00 78 00
920F30,9572144,"materia menu - exchange middle box X-Axis, Y-Axis, Width, Height","Box, Height, MateriaMenu, PositionX, PositionY, Width",0,128,2,00 00 38 00 80 02 33 00; 00 00 3C 00 80 02 33 00
920F40,9572160,"materia menu - exchange scroll box X-Axis, Y-Axis, Width, Height","Box, Height, MateriaMenu, PositionX, PositionY, Width",0,121,2,63 01 67 00 17 00 79 01; 5F 01 67 00 17 00 79 01
920F44,9572164,materia menu - exchange scroll box Width,"Box, MateriaMenu, Width",23,23,1,17
921110,9572624,"magic menu - description box X-Axis, Y-Axis, Width , Height","Box, Height, MagicMenu, PositionX, PositionY, Width",0,163,2,00 00 A1 00 80 02 2F 00; 00 00 A3 00 80 02 2F 00
921120,9572640,"magic menu - magic/summon/eskill box X-Axis, Y-Axis, Width , Height","Box, Height, MagicMenu, PositionX, PositionY, Width",0,221,2,DD 01 2B 00 A3 00 78 00; DD 01 2B 00 A3 00 78 00
921128,9572648,"mpneeded box X-Axis, Y-Axis, Width , Height","Box, Height, PositionX, PositionY, Width",0,221,1,DD 01 2B 00 A3 00 78 00
921130,9572656,"sub menu title box X-Axis, Y-Axis, Width , Height","Box, Height, PositionX, PositionY, Width",0,221,2,DD 01 00 00 A3 00 33 00; DD 01 00 00 A3 00 33 00
921C80,9575552,"Item Menu - description box X-Axis, Y-Axis, Width, Height","Box, Height, ItemMenu, PositionX, PositionY, Width",0,128,1,00 00 2F 00 80 02 33 00
922A4C,9579084,below fixes buy/sell/exit/nextlevel text,Text,0,255,1,00 00 00 00 2E 45 58 54 00 4C 45 56 45 4C FF 00
99DE31,10083889,font spacing mini avatars  99DE33 was mini chocobo but now used by extended icons,"Avatar, Icon, Spacing, Text",12,12,1,0C 0C
