index,func_ptr,func_rva,dispatch_key,key_hex,ffnx_hook_name
103,0x7ff628df7050,0x87050,4237924,0x40aa64,
104,0x7ff628df7500,0x87500,4238000,0x40aab0,
105,0x7ff628df7840,0x87840,4238162,0x40ab52,
106,0x7ff628df7c70,0x87c70,4238209,0x40ab81,
107,0x7ff628df7da0,0x87da0,4238468,0x40ac84,
108,0x7ff628df8140,0x88140,4238480,0x40ac90,
109,0x7ff628df81c0,0x881c0,4238490,0x40ac9a,
110,0x7ff628df8240,0x88240,4238768,0x40adb0,
111,0x7ff628df8710,0x88710,4239773,0x40b19d,
112,0x7ff628df9e30,0x89e30,4239808,0x40b1c0,
113,0x7ff628df9f10,0x89f10,4239866,0x40b1fa,
114,0x7ff628dfa040,0x8a040,4239990,0x40b276,
115,0x7ff628dc6040,0x56040,4239995,0x40b27b,
116,0x7ff628dfa0f0,0x8a0f0,4240243,0x40b373,
117,0x7ff628dfa4b0,0x8a4b0,4240384,0x40b400,
118,0x7ff628dfa7c0,0x8a7c0,4240416,0x40b420,
119,0x7ff628dc6040,0x56040,4240432,0x40b430,
120,0x7ff628dfaa60,0x8aa60,4240496,0x40b470,
121,0x7ff628dba6c0,0x4a6c0,4240544,0x40b4a0,
122,0x7ff628dfaaf0,0x8aaf0,4240656,0x40b510,
123,0x7ff628dfad30,0x8ad30,4240912,0x40b610,
124,0x7ff628dfb330,0x8b330,4241120,0x40b6e0,
125,0x7ff628dfb850,0x8b850,4241552,0x40b890,
126,0x7ff628dfc2b0,0x8c2b0,4241600,0x40b8c0,
127,0x7ff628dfc380,0x8c380,4241648,0x40b8f0,
128,0x7ff628dfc450,0x8c450,4241680,0x40b910,
129,0x7ff628dfc550,0x8c550,4241760,0x40b960,
130,0x7ff628dfc880,0x8c880,4241808,0x40b990,
131,0x7ff628dfc990,0x8c990,4241904,0x40b9f0,
132,0x7ff628dfcc40,0x8cc40,4242016,0x40ba60,
133,0x7ff628dfcee0,0x8cee0,4242048,0x40ba80,
134,0x7ff628dfd050,0x8d050,4242144,0x40bae0,
135,0x7ff628dfd270,0x8d270,4242272,0x40bb60,
136,0x7ff628dfd600,0x8d600,4242528,0x40bc60,
137,0x7ff628dfdc70,0x8dc70,4242640,0x40bcd0,
138,0x7ff628dfdfb0,0x8dfb0,4242832,0x40bd90,
139,0x7ff628dfe5d0,0x8e5d0,4243024,0x40be50,
140,0x7ff628dfebd0,0x8ebd0,4243136,0x40bec0,
141,0x7ff628dfef10,0x8ef10,4243184,0x40bef0,
142,0x7ff628dff140,0x8f140,4243488,0x40c020,
143,0x7ff628dffa10,0x8fa10,4245936,0x40c9b0,
144,0x7ff628e02520,0x92520,4246016,0x40ca00,
145,0x7ff628e02700,0x92700,4246080,0x40ca40,
146,0x7ff628e029d0,0x929d0,4246144,0x40ca80,
147,0x7ff628e02cc0,0x92cc0,4246176,0x40caa0,
148,0x7ff628e02d50,0x92d50,4246208,0x40cac0,
149,0x7ff628e02df0,0x92df0,4246240,0x40cae0,
150,0x7ff628e02e80,0x92e80,4246288,0x40cb10,
151,0x7ff628e03010,0x93010,4246416,0x40cb90,
152,0x7ff628e03310,0x93310,4246448,0x40cbb0,
153,0x7ff628e033f0,0x933f0,4246512,0x40cbf0,
154,0x7ff628e03530,0x93530,4246560,0x40cc20,
155,0x7ff628e03670,0x93670,4246624,0x40cc60,
156,0x7ff628e037b0,0x937b0,4246672,0x40cc90,
157,0x7ff628e038f0,0x938f0,4246816,0x40cd20,
158,0x7ff628e03c60,0x93c60,4247072,0x40ce20,
159,0x7ff628e04160,0x94160,4247120,0x40ce50,
160,0x7ff628e04240,0x94240,4247152,0x40ce70,
161,0x7ff628e042e0,0x942e0,4247184,0x40ce90,
162,0x7ff628e04380,0x94380,4247376,0x40cf50,
163,0x7ff628e047e0,0x947e0,4247392,0x40cf60,
164,0x7ff628e04830,0x94830,4247408,0x40cf70,
165,0x7ff628e04880,0x94880,4247440,0x40cf90,
166,0x7ff628e049d0,0x949d0,4247968,0x40d1a0,
167,0x7ff628e051b0,0x951b0,4248032,0x40d1e0,
168,0x7ff628e053a0,0x953a0,4248064,0x40d200,
169,0x7ff628e05540,0x95540,4248128,0x40d240,
170,0x7ff628e05640,0x95640,4248368,0x40d330,
171,0x7ff628e05ec0,0x95ec0,4248528,0x40d3d0,
172,0x7ff628e06290,0x96290,4249056,0x40d5e0,
173,0x7ff628e06df0,0x96df0,4249408,0x40d740,
174,0x7ff628e077e0,0x977e0,4249968,0x40d970,
175,0x7ff628e08330,0x98330,4250048,0x40d9c0,
176,0x7ff628e08410,0x98410,4250144,0x40da20,
177,0x7ff628e08560,0x98560,4250208,0x40da60,
178,0x7ff628e086f0,0x986f0,4250688,0x40dc40,
179,0x7ff628e090d0,0x990d0,4250704,0x40dc50,
180,0x7ff628e09120,0x99120,4251232,0x40de60,
181,0x7ff628e09c40,0x99c40,4251328,0x40dec0,
182,0x7ff628e09ff0,0x99ff0,4251360,0x40dee0,
183,0x7ff628e0a050,0x9a050,4251488,0x40df60,
184,0x7ff628e0a3c0,0x9a3c0,4251664,0x40e010,
185,0x7ff628e0a830,0x9a830,4251728,0x40e050,
186,0x7ff628e0a980,0x9a980,4251760,0x40e070,
